,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
Enrd1_enzyme_backward_efficiency,0.32049357891082764,21951.8062,0.01,219.518062,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EputB_enzyme_backward_efficiency,0.32049357891082764,29664.2055,0.01,296.642055,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcysH_enzyme_forward_efficiency,0.32049357891082764,53392.0114,0.01,533.920114,0.32049374091778304,0.32049342608758025,3.148302027966565e-07,2.948289402678848e-10,4.9116460283944276e-05
EaldX_enzyme_backward_efficiency,0.32049357891082764,20048.0567,0.01,200.480567,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpucLM_enzyme_backward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EilvD2_enzyme_backward_efficiency,0.32049357891082764,33697.7612,0.01,336.977612,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ttrp_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
TmgtE_efficiency,0.32049357891082764,3395.166759259259,0.01,33.95166759259259,0.3204949559699486,0.32049212708997743,2.8288799711617685e-06,4.166039802679618e-08,0.0004413317703236826
Epsd_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,3.9396886377422715e-10,2.4558230141972138e-05
EdfrA_enzyme_backward_efficiency,0.32049357891082764,129365.1951,0.01,1293.651951,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EtagO_enzyme_backward_efficiency,0.32049357891082764,19126.4338,0.01,191.26433799999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisC_enzyme_forward_efficiency,0.32049357891082764,18632.7187,0.01,186.327187,0.32049398392821615,0.32049319685270916,7.870755069916413e-07,2.1120790789152023e-09,0.00012279115070986069
