,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EptsI_enzyme_backward_efficiency,0.32049357891082764,151041.2918,0.001,151.0412918,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpatA_enzyme_backward_efficiency,0.32049357891082764,139481.9825,0.001,139.48198250000002,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Etmk_enzyme_forward_efficiency,0.32049357891082764,253157.5537,0.001,253.1575537,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Elpg_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpssA_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpabAB_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EaroB_enzyme_forward_efficiency,0.32049357891082764,24654.1037,0.001,24.6541037,0.32049365991430534,0.32049342608758025,2.3382672509342228e-07,4.742146133940012e-09,0.0003647915909705026
Efba_enzyme_backward_efficiency,0.32049357891082764,62022.4449,0.001,62.0224449,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcoaE_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ezwf_enzyme_backward_efficiency,0.32049357891082764,197996.7564,0.001,197.9967564,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EthyB_enzyme_forward_efficiency,0.32049357891082764,185435.0037,0.001,185.4350037,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EugtP1_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.001,19.7600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EthiC_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisG_enzyme_backward_efficiency,0.32049357891082764,102791.999,0.001,102.791999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisC_enzyme_forward_efficiency,0.32049357891082764,18632.7187,0.001,18.6327187,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,2.0504689875206995e-09,0.00011920928955078125
