Enzyme	Concentration
EpyrKD_enzyme	2.3036322015293487e-06
EpyrE_enzyme	3.300120762800285e-06
EpyrF_enzyme	1.2166635572546939e-05
EpyrH_enzyme	1.7317974535134215e-06
Ecmk2_enzyme	4.878568569566255e-06
Eutp_enzyme	1.6935731382297647e-05
EpyrG_enzyme	3.1443520405394507e-06
Ecdp_enzyme	1.4951296925726224e-05
Enrd1_enzyme	1.1794600259973873e-06
Enrd2_enzyme	7.563708193735046e-07
Enrd3_enzyme	5.133510911989668e-07
Enrd4_enzyme	0.0
Egmk2_enzyme	0.0
Eadk2_enzyme	0.0
Ecmk3_enzyme	0.0
Ecmk4_enzyme	4.984086556733547e-07
EthyB_enzyme	0.0
EcomEB_enzyme	1.6003720732672348e-07
Etmk_enzyme	0.0
Endk1_enzyme	1.566449095546929e-05
Endk2_enzyme	1.4929145149222833e-05
Endk3_enzyme	1.4997911363723304e-05
Endk4_enzyme	1.5664490391031904e-05
EycgT_enzyme	5.1274984317979606e-05
Endh_enzyme	9.856626838886046e-06
EyutJ_enzyme	0.0
Eqcr_enzyme	3.6352169299536954e-06
Enar_enzyme	0.0
Eatp_enzyme	8.434038827889349e-06
EppaC_enzyme	3.181305397967248e-05
EytiB_enzyme	9.826268918056333e-06
EkatA_enzyme	3.515330641866473e-05
EsodA_enzyme	0.00013317852424356261
EalaT_enzyme	1.1406192679045088e-06
EalaS_enzyme	7.50672766104139e-06
Ealr_enzyme	7.2673269209261315e-06
Eddl_enzyme	1.0992944135285758e-05
EargJ_enzyme	0.0
EargB_enzyme	1.761752716294616e-06
EargC_enzyme	5.1869383614227634e-06
EargD_enzyme	1.348172346825941e-05
EargJ2_enzyme	8.242593525646169e-06
EcarAB_enzyme	1.7720843378165978e-06
EargF_enzyme	1.3403097249432803e-05
EargG_enzyme	3.2279723813707566e-05
EargH_enzyme	1.5234254011724882e-05
EargS_enzyme	1.842478633722261e-05
EasnB_enzyme	3.6261423887996367e-06
EasnS_enzyme	1.0627534900221393e-05
EaspB_enzyme	8.789769538267594e-05
EaspS_enzyme	1.128311196270327e-05
Esat_enzyme	1.3510054119262099e-05
EcysC_enzyme	4.700866116804072e-06
EcysH_enzyme	2.2643670257720553e-06
Ecxx_enzyme	5.362473381380192e-06
EcysJI_enzyme	9.859226459420452e-06
Exxx_enzyme	0.0
EcysE_enzyme	7.479262547432755e-08
EcysK_enzyme	1.278450216671907e-05
EyrrT_enzyme	0.0
EmtnN_enzyme	1.0246339788810083e-08
EluxS_enzyme	1.0246339788810083e-08
EmccA_enzyme	0.0
EmccB_enzyme	1.1017011407951607e-06
EcysS_enzyme	5.177676192957668e-07
Egln_enzyme	5.209668095186755e-05
EglnS_enzyme	1.3007471291956962e-05
Eglt_enzyme	1.2915514528598468e-05
EgltX_enzyme	1.7224090806084812e-05
EracE_enzyme	8.839589026050226e-07
EglyA_enzyme	6.593961929066585e-05
EglyQS_enzyme	6.401471437746338e-06
EhisG_enzyme	7.537185182241592e-07
EhisI_enzyme	1.3574758015559699e-06
EhisA_enzyme	1.0829928846253569e-06
EhisHF_enzyme	8.988654941237634e-07
EhisB_enzyme	1.5410626820800326e-06
EhisC_enzyme	4.158074536464678e-06
EhisJ_enzyme	1.5410626820800326e-06
EhisD1_enzyme	7.455780227993317e-07
EhisD2_enzyme	7.455780227993317e-07
EhisS_enzyme	3.921493271737212e-06
EilvA_enzyme	0.0
EilvBH1_enzyme	3.4939662541866946e-06
EilvC1_enzyme	8.620864167019973e-05
EilvD1_enzyme	1.2590181782186209e-05
EilvE1_enzyme	3.199392259029809e-07
